size|df|lr|time|ep|avgrew
16|0.3|0.001|86.68806982040405|1000|16.959
16|0.3|0.001|152.55063033103943|1000|30.507
16|0.3|0.001|88.54351091384888|1000|17.307
16|0.3|0.001|123.43156933784485|1000|23.755
16|0.3|0.001|108.27076435089111|1000|20.396
16|0.3|0.001|118.76269435882568|1000|22.184
16|0.3|0.01|72.95570850372314|1000|13.558
16|0.3|0.01|109.31443953514099|1000|20.211
16|0.3|0.01|194.75737810134888|1000|37.033
16|0.3|0.1|69.62710881233215|1000|13.214
16|0.3|0.1|58.90934705734253|1000|11.096
16|0.3|0.1|154.3066167831421|1000|29.989
16|0.5|0.001|109.72896695137024|1000|21.006
16|0.5|0.001|145.07099390029907|1000|27.981
16|0.5|0.001|101.88959860801697|1000|19.448
16|0.5|0.01|405.91058254241943|1000|77.78
16|0.5|0.01|632.775060415268|1000|123.732
16|0.5|0.01|59.1685106754303|1000|11.298
16|0.5|0.1|52.05902671813965|1000|9.895
16|0.5|0.1|61.65506982803345|1000|11.818
16|0.5|0.1|757.713969707489|1000|149.303
16|0.8|0.001|213.95985627174377|1000|41.721
16|0.8|0.001|395.62768292427063|1000|77.209
16|0.8|0.001|337.8875026702881|1000|65.731
16|0.8|0.01|1307.9926850795746|1000|254.916
16|0.8|0.01|971.0611369609833|1000|188.692
16|0.8|0.01|428.78917694091797|1000|82.902
16|0.8|0.1|1469.796310186386|1000|285.56
16|0.8|0.1|770.9977123737335|1000|149.569
16|0.8|0.1|69.21888303756714|1000|13.152
16|0.99|0.001|283.30581498146057|1000|54.643
16|0.99|0.001|263.5826930999756|1000|50.938
16|0.99|0.001|238.56817960739136|1000|46.061
16|0.99|0.01|1189.782655954361|768|300.2447916666667
16|0.99|0.01|1257.8616280555725|811|300.0505548705302
16|0.99|0.01|1084.1605441570282|696|300.2471264367816
16|0.99|0.1|593.809892654419|1000|114.164
16|0.99|0.1|50.84969735145569|1000|9.469
16|0.99|0.1|88.35984683036804|1000|16.709
64|0.3|0.001|88.16910433769226|1000|16.783
64|0.3|0.001|115.21412324905396|1000|22.028
64|0.3|0.001|182.9813358783722|1000|35.288
64|0.3|0.01|55.382781744003296|1000|10.399
64|0.3|0.01|62.69728946685791|1000|11.814
64|0.3|0.01|599.747308254242|1000|115.984
64|0.3|0.1|51.79740881919861|1000|9.706
64|0.3|0.1|110.91801857948303|1000|21.115
64|0.3|0.1|52.867557764053345|1000|9.901
64|0.5|0.001|146.55325770378113|1000|28.131
64|0.5|0.001|131.32985019683838|1000|25.161
64|0.5|0.001|195.72525835037231|1000|37.621
64|0.5|0.01|174.22449731826782|1000|33.46
64|0.5|0.01|774.588485956192|1000|150.05
64|0.5|0.01|973.0709612369537|1000|188.456
64|0.5|0.1|112.71057200431824|1000|21.431
64|0.5|0.1|51.77184438705444|1000|9.701
64|0.5|0.1|50.2481689453125|1000|9.415
64|0.8|0.001|812.4688656330109|1000|156.981
64|0.8|0.001|783.5229759216309|1000|151.179
64|0.8|0.001|790.2040462493896|1000|152.608
64|0.8|0.01|663.4839177131653|1000|127.95
64|0.8|0.01|799.7368011474609|1000|154.537
64|0.8|0.01|822.3669776916504|1000|159.013
64|0.8|0.1|82.31980729103088|1000|15.616
64|0.8|0.1|64.2399115562439|41|303.4878048780488
64|0.8|0.1|51.96926712989807|1000|9.723
64|0.99|0.001|634.4277153015137|1000|122.531
64|0.99|0.001|1077.1101253032684|1000|207.883
64|0.99|0.001|954.1363031864166|1000|184.274
64|0.99|0.01|825.6971695423126|530|300.0433962264151
64|0.99|0.01|863.683468580246|559|300.0268336314848
64|0.99|0.01|1506.3687634468079|1000|290.406
64|0.99|0.1|577.9060831069946|1000|112.229
64|0.99|0.1|52.263763427734375|1000|9.816
64|0.99|0.1|614.9320695400238|1000|119.314
128|0.3|0.001|100.42947387695312|1000|19.263
128|0.3|0.001|131.70836520195007|1000|25.389
128|0.3|0.001|97.83818793296814|1000|18.6
128|0.3|0.01|91.05022621154785|1000|17.309
128|0.3|0.01|520.098014831543|1000|100.155
128|0.3|0.01|429.79788422584534|1000|82.636
128|0.3|0.1|56.793941497802734|1000|10.656
128|0.3|0.1|50.8946430683136|1000|9.505
128|0.3|0.1|59.281479358673096|1000|11.123
128|0.5|0.001|584.1259911060333|1000|112.031
128|0.5|0.001|528.301590681076|1000|101.613
128|0.5|0.001|407.89193987846375|1000|78.44
128|0.5|0.01|85.66487264633179|1000|16.184
128|0.5|0.01|780.6211402416229|1000|150.303
128|0.5|0.01|1359.0982990264893|1000|262.34
128|0.5|0.1|62.87101101875305|1000|11.906
128|0.5|0.1|51.74036121368408|1000|9.65
128|0.5|0.1|112.48968625068665|1000|21.497
128|0.8|0.001|745.6924505233765|1000|143.629
128|0.8|0.001|670.8224523067474|1000|128.452
128|0.8|0.001|1019.5743954181671|1000|196.187
128|0.8|0.01|1047.6109790802002|1000|201.871
128|0.8|0.01|645.0322751998901|1000|124.248
128|0.8|0.01|501.58225989341736|1000|97.416
128|0.8|0.1|447.926331281662|1000|86.884
128|0.8|0.1|66.8121886253357|1000|12.459
128|0.8|0.1|55.91580843925476|1000|10.579
128|0.99|0.001|1191.7436323165894|1000|231.612
128|0.99|0.001|1264.9721567630768|1000|243.184
128|0.99|0.001|1439.025911808014|1000|276.101
128|0.99|0.01|1435.5049889087677|1000|246.554
128|0.99|0.01|1283.0170195102692|1000|248.81
128|0.99|0.01|874.2290213108063|1000|169.678
128|0.99|0.1|59.21804237365723|1000|11.229
128|0.99|0.1|156.72332763671875|1000|30.361
128|0.99|0.1|52.894744873046875|1000|10.039
256|0.3|0.001|252.67657113075256|1000|48.832
256|0.3|0.001|161.96564960479736|1000|31.301
256|0.3|0.001|115.17517852783203|1000|22.21
256|0.3|0.01|961.8730835914612|1000|186.936
256|0.3|0.01|59.97949147224426|1000|9.691
256|0.3|0.01|260.8068058490753|1000|43.888
256|0.3|0.1|61.820467948913574|1000|9.966
256|0.3|0.1|328.5570135116577|1000|53.613
256|0.3|0.1|63.75921130180359|1000|9.814
256|0.5|0.001|987.2896962165833|1000|182.408
256|0.5|0.001|609.4164321422577|1000|117.618
256|0.5|0.001|586.6673922538757|1000|112.832
256|0.5|0.01|600.6939926147461|1000|115.79
256|0.5|0.01|585.3687062263489|1000|112.731
256|0.5|0.01|718.2517421245575|1000|138.268
256|0.5|0.1|54.238155364990234|1000|10.127
256|0.5|0.1|54.683419704437256|1000|10.328
256|0.5|0.1|54.89849853515625|1000|10.248
256|0.8|0.001|847.7430427074432|1000|163.135
256|0.8|0.001|786.8732576370239|1000|141.74
256|0.8|0.001|845.9964339733124|1000|154.671
256|0.8|0.01|797.9854769706726|1000|143.054
256|0.8|0.01|749.3775227069855|1000|135.425
256|0.8|0.01|677.9658915996552|1000|121.758
256|0.8|0.1|267.56009221076965|1000|47.86
256|0.8|0.1|55.13025140762329|1000|9.547
256|0.8|0.1|366.6425213813782|1000|67.356
256|0.99|0.001|1196.103450536728|759|300.0882740447958
256|0.99|0.001|1294.043404340744|794|300.095717884131
256|0.99|0.001|1282.991811990738|820|300.2207317073171
256|0.99|0.01|894.1086411476135|1000|170.414
256|0.99|0.01|760.1235785484314|480|300.03333333333336
256|0.99|0.01|194.53433227539062|123|301.0813008130081
256|0.99|0.1|183.06156730651855|1000|34.155
256|0.99|0.1|88.94400453567505|1000|16.525
256|0.99|0.1|155.24981665611267|1000|29.546
