pop,mutation_rate,generation,score,time
10,1.0,10,366.54,20.526708126068115
10,1.0,96,334.89,75.83573937416077
10,10.0,11,355.97,14.631253242492676
10,10.0,10,452.09,15.575376033782959
10,50.0,10,376.87,17.31963014602661
10,50.0,30,347.87,30.179179430007935
50,1.0,6,500.0,22.150015592575073
50,1.0,0,303.17,1.7743289470672607
50,10.0,6,383.88,33.81299424171448
50,10.0,6,349.33,17.445377349853516
50,50.0,5,371.73,12.324083089828491
50,50.0,9,446.79,23.69025421142578
100,1.0,3,342.76,11.09480905532837
100,1.0,9,500.0,80.36519837379456
100,10.0,2,494.82,7.759695768356323
100,10.0,4,350.23,15.957634449005127
100,50.0,3,395.05,11.689385890960693
100,50.0,9,498.02,48.58908414840698
150,1.0,8,476.66,130.2710919380188
150,1.0,1,475.38,6.3324196338653564
150,10.0,5,431.68,56.328455209732056
150,10.0,8,400.72,67.52967834472656
150,50.0,10,490.86,105.27156376838684
150,50.0,1,462.53,5.299707412719727
200,1.0,1,500.0,6.031353235244751
200,1.0,0,496.27,3.2912659645080566
200,10.0,9,500.0,175.53613829612732
200,10.0,0,500.0,3.849601984024048
200,50.0,8,405.95,81.76765632629395
200,50.0,5,483.47,35.57102870941162
10,1.0,33,403.4,44.80498480796814
10,1.0,12,376.84,11.81307315826416
10,10.0,27,387.48,24.741552591323853
10,10.0,13,436.21,14.583969593048096
10,50.0,14,500.0,25.03779649734497
10,50.0,18,387.77,15.084666967391968
50,1.0,7,394.68,37.78424692153931
50,1.0,0,475.75,2.7308030128479004
50,10.0,1,447.98,4.303692579269409
50,10.0,2,391.92,7.094223976135254
50,50.0,7,368.65,15.91520881652832
50,50.0,2,464.29,6.029270887374878
100,1.0,0,433.95,2.9765186309814453
100,1.0,4,336.29,22.120482206344604
100,10.0,7,374.13,37.4747531414032
100,10.0,10,446.05,101.76388430595398
100,50.0,1,458.93,5.222459316253662
100,50.0,4,495.68,14.417336463928223
150,1.0,1,387.32,5.162911653518677
150,1.0,3,500.0,12.957543134689331
150,10.0,12,500.0,169.79098391532898
150,10.0,5,334.37,38.3092086315155
150,50.0,0,457.25,3.2526609897613525
150,50.0,6,348.41,43.015125036239624
200,1.0,2,500.0,10.729387283325195
200,1.0,9,382.22,250.3296341896057
200,10.0,0,500.0,3.2255609035491943
200,10.0,7,500.0,86.23532128334045
200,50.0,1,383.83,5.0273659229278564
200,50.0,2,440.94,8.792805671691895
